id_book,title,authors,publisher,published_year,id_categories
1,Under the Overpass: A Journey of Faith on the Streets of America,Mike Yankoski,Multnomah,2009,1
2,Magic Music from the Telharmonium,Reynold Weidenaar,Reynold Weidenaar,1995,2
3,Widening the Circle: Culturally Relevant Pedagogy for American Indian Children,"Beverly J. Klug, Patricia T. Whitfield",Routledge,2012,3
4,Lure of the Mountains: The Frontier Life of a Mountain Man,Wayde Bulow,iUniverse,2001,4
5,Asian Brand Strategy: How Asia Builds Strong Brands,M. Roll,Springer,2016,5
6,Great Firehouse Cooks of Texas,"Ron McAdoo, Caryl McAdoo",Taylor Trade Publishing,2000,6
7,Country Music Sources: A Biblio-Discography of Commercially Recorded Traditional Music,"Guthrie T. Meade, Richard Keith Spottswood, Douglas Shannon Meade",University of North Carolina Press,2002,2
8,El ao que viene estamos en Cuba,Gustavo PŽrez Firmat,Arte Publico Press,1997,7
9,You're Not Alone: Healing Through God's Grace After Abortion,Jennifer ONeill,"Health Communications, Inc.",2005,1
10,"Five Lessons on the Psychoanalytic Theory of Jacques Lacan (Suny Series in Psychoanalysis & Culture) (Suny Series, Psychoanalysis & Culture)",Juan-David Nasio,SUNY Press,1998,8
11,Dhammapada : Annotated & Explained,"Friedrich Max Müller, Jack Maguire",SkyLight Paths Publishing,2002,1
12,Culture and the Evolutionary Process,"Robert Boyd, Peter J. Richerson",University of Chicago Press,1988,9
13,On a Wicked Dawn (Cynster Novels),Stephanie Laurens,Harper Collins,2009,4
14,"Rock Sculpture: The Joy of Stone Carving (Rocks, Minerals and Gemstones)",Violet Stage,Naturegraph Pub,2003,10
15,Murder on St. Mark's Place (Gaslight Mystery),Victoria E. Thompson,Penguin,2000,4
16,"Superminds: People Harness Hypercomputation, and More (Studies in Cognitive Systems)","Selmer Bringsjord, M. Zenzen",Springer Science & Business Media,2012,11
17,The Big Book of Buds: Marijuana Varieties from the World's Great Seed Breeders,Ed Rosenthal,Ed Rosenthal,2011,12
18,The Dolorous Passion of Our Lord Jesus Christ,Anna Catherine Emmerich,BoD – Books on Demand,2018,4
19,Apple Pro Training Series: Advanced Color Correction and Effects in Final Cut Pro 5,"Alexis Van Hurkman, DigitalFilm Tree (Firm)",Peachpit Press,2006,13
20,The Everything Guide To Raising A Two-Year-Old: From Personality And Behavior to Nutrition And Health--a Complete Handbook (Everything (Parenting)),"Brian Orr, Donna Raskin",Simon and Schuster,2006,14
21,The Trouble with Science,"Robin Dunbar, Robin Ian MacDonald Dunbar, Professor of Evolutionary Anthropology Robin Dunbar",Harvard University Press,1995,9
22,Dance As Education: Towards A National Dance Culture (Falmer Press Library on Aesthetic Education Series),Peter Brinson,Routledge,2004,3
23,That All May Be One: Catholic Reflections on Christian Unity,Ernest R. Falardeau,Paulist Press,2000,1
24,The Millionaire Maverick,Joss Wood,Harlequin,2016,4
25,Improvise This!: How to Think on Your Feet so You Don't Fall on Your Face,"Mark Bergren, Molly Cox",Hachette Books,2002,5
26,Mountain Meteorology: Fundamentals and Applications,"C. David Whiteman, Staff Scientist of Meteorology at Pacific Northwest Laboratories and Teaches Meterology C David Whiteman",Oxford University Press on Demand,2000,15
27,"Battle Royale, Vol. 9","Koushun Takami, Masayuki Taguchi",TokyoPop,2004,16
28,Freeing Celibacy,Donald B. Cozzens,Liturgical Press,2006,1
29,Say It's So: The Chicago White Sox's Magical Season,Phil Rogers,Triumph Books,2006,17
30,Intrepid Voyagers : Stories of the World's Most Adventurous Sailors,Tom Lochhaas,International Marine/Ragged Mountain Press,2003,18
31,The Culture of the Babylonian Talmud,Jeffrey L. Rubenstein,JHU Press,2005,18
32,Just Like Mary,"Rosemarie Gortler, Donna Piscitelli",Our Sunday Visitor,2003,19
33,The Lady Chosen (Bastion Club),Stephanie Laurens,Avon,2014,4
34,A Gathering of Spies,John Altman,Open Road Media,2015,4
35,1001 Books You Must Read Before You Die,Peter Boxall,Cassell,2012,20
36,Nuts To You!,Lois Ehlert,Houghton Mifflin Harcourt,2004,21
37,Requiem in Full Score (Dover Vocal Scores),Gabriel Fauré,Courier Corporation,1900,2
38,"Junie B., First Grader: Shipwrecked (Junie B. Jones, No. 23)",Barbara Park,Random House Books for Young Readers,2004,21
39,"Theory and Applications of Fractional Differential Equations, Volume 204 (North-Holland Mathematics Studies)","A.A. Kilbas, H. M. Srivastava, J.J. Trujillo",Elsevier,2006,22
40,48 Hours to a Stronger Marriage: Reconnect with Your Spouse and Re-Energize Your Marriage,Bob Bowersox,St. Martin's Griffin,2002,14
41,What Are We Hoping For? New Testament Images,Daniel J. Harrington,Liturgical Press,2008,1
42,101 Essential Riffs for Acoustic Guitar (Listen & Learn),"Hal Leonard Publishing Corporation, Artie Traum",Hal Leonard Corporation,1998,2
43,"The Early American Republic, 1789-1829",Paul E. Johnson,"Oxford University Press, USA",2007,18
44,Crossing the River: Short Fiction by Nguyen Huy Thiep (Voices from Vietnam),"Huy Thiep Nguyen, Huy Thiệp Nguyễn",Voices from Vietnam,2003,4
45,Just When You Think You Are All Alone,Leon Mentzer,Tate Pub & Enterprises Llc,2005,4
46,Fire Lover,Joseph Wambaugh,Harper Collins,2003,23
47,Hebrew Reading and Writing Self Taught,Fern Margolis,Dr. Fern Margolis,2003,24
48,Rave Culture: An Insider's Overview,Jimi Fritz,Small Fry Pub,1999,25
49,Neuropsychiatry and Mental Health Services,"Stephen J. Wood, Nicholas B. Allen, Christos Pantelis",Cambridge University Press,2009,26
50,Single-Subject Research: Application in Educational and Clinical Settings,"Stephen B. Richards, Ronald Taylor, Rangasamy Ramasamy",Cengage Learning,2013,3
51,Most Moved Mover: A Theology of God's Openness (Didsbury Lectures),Clark H. Pinnock,Authentic UK,2001,27
52,A Catholic's Guide to Rome: Discovering the Soul of the Eternal City,Frank J. Korn,Paulist Press,2000,1
53,Vikings,Gwyn Jones,"Oxford University Press, USA",2001,18
54,The Last Time I Saw You,Elizabeth Berg,Hachette UK,2011,4
55,"Joker, Joker, Deuce",Paul Beatty,Penguin Books,1994,28
56,Trudy (Milkweed Prize for Children's Literature),Jessica Lee Anderson,Milkweed Editions,2005,21
